ID_TRANSCRIPT,ID_GENE,COSMIC_ID_TRANSCRIPT,GENOME_VERSION,ACCESSION,ACCESSION_VERSION,SOURCE,VERSION,IS_CANONICAL,ID_BIOTYPE,CCDS_ACCESSION,REF_SEQ,FLAGS
96331,15,511071,37,ENST00000511071,1,Ensembl,93,n,23,CCDS54711.1,NM_001172656.1,gencode_basic
98463,15,515169,37,ENST00000515169,1,Ensembl,93,n,23,CCDS54709.1,NM_001172660.1,gencode_basic
103944,15,505421,37,ENST00000505421,1,Ensembl,93,n,40,,,
132152,15,509171,37,ENST00000509171,1,Ensembl,93,n,23,CCDS54710.1,NM_001172658.1,gencode_basic
181693,15,503000,37,ENST00000503000,1,Ensembl,93,n,23,CCDS54712.1,NM_001172657.1,gencode_basic
184601,15,514248,37,ENST00000514248,1,Ensembl,93,n,1,,,
186906,15,508471,37,ENST00000508471,1,Ensembl,93,n,23,,,gencode_basic
8760,16,543896,37,ENST00000543896,1,Ensembl,93,n,23,,,cds_end_NF
32496,16,462175,37,ENST00000462175,1,Ensembl,93,n,40,,,
43723,16,470325,37,ENST00000470325,1,Ensembl,93,n,1,,,
44324,16,539316,37,ENST00000539316,1,Ensembl,93,n,23,,,cds_end_NF
89951,16,338696,37,ENST00000338696,2,Ensembl,93,n,23,CCDS11169.1,,gencode_basic
93670,16,395931,37,ENST00000395931,2,Ensembl,93,n,14,,,
96946,16,578011,37,ENST00000578011,1,Ensembl,93,n,1,,,
125573,16,63796,37,ENST00000395930,1,Ensembl,93,y,23,CCDS11169.1,NM_031898.2,gencode_basic
139721,16,539245,37,ENST00000539245,1,Ensembl,93,n,23,,,cds_end_NF
162060,16,536146,37,ENST00000536146,1,Ensembl,93,n,23,,,cds_end_NF
59572,17,426597,37,ENST00000426597,2,Ensembl,93,n,4,,,
70452,17,423995,37,ENST00000423995,1,Ensembl,93,n,40,,,
152831,17,403496,37,ENST00000403496,2,Ensembl,93,n,40,,,
159411,17,441044,37,ENST00000441044,1,Ensembl,93,y,40,,,gencode_basic
38160,18,384343,37,ENST00000384343,1,Ensembl,93,y,32,,,gencode_basic
24870,19,262952,37,ENST00000262952,6,Ensembl,93,n,40,,,
52276,19,543616,37,ENST00000543616,1,Ensembl,93,n,40,,,
59450,19,591733,37,ENST00000591733,1,Ensembl,93,n,40,,,
64347,19,587187,37,ENST00000587187,1,Ensembl,93,n,40,,,
68138,19,81384,37,ENST00000398240,2,Ensembl,93,n,40,,,
104385,19,592666,37,ENST00000592666,1,Ensembl,93,y,40,,,gencode_basic
126734,19,591699,37,ENST00000591699,1,Ensembl,93,n,40,,,
129298,19,592200,37,ENST00000592200,1,Ensembl,93,n,40,,,
131101,19,587870,37,ENST00000587870,1,Ensembl,93,n,40,,,
6381,20,415639,37,ENST00000415639,1,Ensembl,93,y,13,,,gencode_basic
137996,21,95433,37,ENST00000217428,6,Ensembl,93,y,23,CCDS46608.1,NM_006652.1,gencode_basic
9581,22,560733,37,ENST00000560733,1,Ensembl,93,n,1,,,
24110,22,561461,37,ENST00000561461,1,Ensembl,93,n,1,,,
28342,22,559682,37,ENST00000559682,1,Ensembl,93,n,1,,,
36238,22,558003,37,ENST00000558003,1,Ensembl,93,n,1,,,
40437,22,559674,37,ENST00000559674,1,Ensembl,93,n,1,,,
55405,22,558491,37,ENST00000558491,1,Ensembl,93,n,1,,,
68792,22,561086,37,ENST00000561086,1,Ensembl,93,n,1,,,
75310,22,560020,37,ENST00000560020,1,Ensembl,93,n,40,,,
77530,22,560738,37,ENST00000560738,1,Ensembl,93,n,23,,,gencode_basic
138682,22,560418,37,ENST00000560418,1,Ensembl,93,n,23,,,cds_end_NF
171328,22,559031,37,ENST00000559031,1,Ensembl,93,n,1,,,
170366,22,559809,37,ENST00000559809,1,Ensembl,93,n,1,,,
179252,22,560373,37,ENST00000560373,1,Ensembl,93,n,1,,,
180149,22,560218,37,ENST00000560218,1,Ensembl,93,n,1,,,
181234,22,558957,37,ENST00000558957,1,Ensembl,93,n,1,,,
182315,22,63112,37,ENST00000268182,5,Ensembl,93,y,23,CCDS10362.1,NM_003870.3,gencode_basic
185681,22,561132,37,ENST00000561132,1,Ensembl,93,n,1,,,
145623,23,385298,37,ENST00000385298,1,Ensembl,93,y,10,,,gencode_basic
113597,24,503471,37,ENST00000503471,1,Ensembl,93,y,24,,,gencode_basic
77251,25,401172,37,ENST00000401172,1,Ensembl,93,y,10,,,gencode_basic
7932,26,534420,37,ENST00000534420,1,Ensembl,93,y,23,,,gencode_basic
89208,27,95553,37,ENST00000400156,4,Ensembl,93,y,23,CCDS47773.1,,gencode_basic
137798,27,400078,37,ENST00000400078,2,Ensembl,93,n,23,CCDS47773.1,NM_001164457.1,gencode_basic
71105,28,510278,37,ENST00000510278,1,Ensembl,93,y,13,,,gencode_basic
67380,29,550143,37,ENST00000550143,1,Ensembl,93,n,14,,,cds_start_NF
70226,29,413016,37,ENST00000413016,1,Ensembl,93,n,23,,,cds_start_NF
112182,29,223836,37,ENST00000223836,10,Ensembl,93,n,23,,,gencode_basic
113076,29,550992,37,ENST00000550992,1,Ensembl,93,n,14,,,
119350,29,373156,37,ENST00000373156,1,Ensembl,93,n,23,CCDS6881.1,,gencode_basic
165268,29,610,37,ENST00000373176,1,Ensembl,93,y,23,CCDS6881.1,NM_000476.2,gencode_basic
18112,30,105359,37,ENST00000413942,1,Ensembl,93,n,23,,,"cds_start_NF,cds_end_NF"
158619,30,406644,37,ENST00000406644,3,Ensembl,93,n,23,CCDS46716.1,NM_001145398.2,gencode_basic
166535,30,66129,37,ENST00000266304,4,Ensembl,93,y,23,CCDS14014.1,NM_003216.3,gencode_basic
2259,31,147,37,ENST00000367109,2,Ensembl,93,y,23,CCDS30999.1,NM_003582.2,gencode_basic
4744,31,441486,37,ENST00000441486,1,Ensembl,93,n,23,,,cds_end_NF
17720,31,99760,37,ENST00000367106,1,Ensembl,93,n,23,CCDS31000.1,,gencode_basic
176828,31,489878,37,ENST00000489878,1,Ensembl,93,n,40,,,
179437,31,367108,37,ENST00000367108,3,Ensembl,93,n,23,CCDS31000.1,NM_001004023.1,gencode_basic
5286,32,563061,37,ENST00000563061,1,Ensembl,93,y,45,,,gencode_basic
39992,33,447000,37,ENST00000447000,1,Ensembl,93,y,13,,,gencode_basic
135172,34,452587,37,ENST00000452587,1,Ensembl,93,y,13,,,gencode_basic
16102,35,470473,37,ENST00000470473,1,Ensembl,93,n,40,,,
142209,35,60071,37,ENST00000375011,3,Ensembl,93,y,23,CCDS6737.1,NM_024642.4,gencode_basic
168852,36,450472,37,ENST00000450472,1,Ensembl,93,y,13,,,gencode_basic
17065,37,75067,37,ENST00000397786,2,Ensembl,93,y,23,CCDS42366.1,NM_005121.2,gencode_basic
33128,37,583958,37,ENST00000583958,1,Ensembl,93,n,23,,,cds_start_NF
96851,37,580896,37,ENST00000580896,1,Ensembl,93,n,40,,,
94498,37,582786,37,ENST00000582786,1,Ensembl,93,n,1,,,
120036,37,581994,37,ENST00000581994,1,Ensembl,93,n,1,,,
131187,37,578132,37,ENST00000578132,1,Ensembl,93,n,1,,,
139949,38,93952,37,ENST00000391417,4,Ensembl,93,y,23,CCDS45673.1,NM_033061.3,gencode_basic
23645,39,518922,37,ENST00000518922,1,Ensembl,93,y,45,,,gencode_basic
45955,40,584435,37,ENST00000584435,1,Ensembl,93,n,40,,,
86164,40,582992,37,ENST00000582992,1,Ensembl,93,n,23,,,cds_start_NF
113808,40,577609,37,ENST00000577609,1,Ensembl,93,n,40,,,
115752,40,582172,37,ENST00000582172,1,Ensembl,93,n,40,,,
185659,40,68229,37,ENST00000382713,5,Ensembl,93,y,23,CCDS32841.1,NM_152721.5,gencode_basic
3758,41,513468,37,ENST00000513468,1,Ensembl,93,n,14,,,
32502,41,515336,37,ENST00000515336,1,Ensembl,93,n,40,,,
144850,41,513312,37,ENST00000513312,1,Ensembl,93,y,23,CCDS54853.1,NM_001190787.1,gencode_basic
93206,42,562636,37,ENST00000562636,1,Ensembl,93,y,13,,,gencode_basic
179721,43,555663,37,ENST00000555663,1,Ensembl,93,y,13,,,gencode_basic
5907,44,465467,37,ENST00000465467,1,Ensembl,93,n,14,,,cds_start_NF
31997,44,371730,37,ENST00000371730,2,Ensembl,93,n,23,,,gencode_basic
43934,44,471391,37,ENST00000471391,1,Ensembl,93,n,1,,,
61341,44,371727,37,ENST00000371727,1,Ensembl,93,n,1,,,
72844,44,6057,37,ENST00000371733,3,Ensembl,93,y,23,CCDS557.1,NM_001981.2,gencode_basic
83274,44,478657,37,ENST00000478657,1,Ensembl,93,n,1,,,
90685,44,486505,37,ENST00000486505,1,Ensembl,93,n,1,,,
117689,44,464478,37,ENST00000464478,1,Ensembl,93,n,40,,,
117529,44,493793,37,ENST00000493793,1,Ensembl,93,n,40,,,
195637,44,106854,37,ENST00000396122,4,Ensembl,93,n,23,,NM_001159969.1,gencode_basic
53807,45,565623,37,ENST00000565623,1,Ensembl,93,y,29,,,gencode_basic
103810,45,565310,37,ENST00000565310,1,Ensembl,93,n,29,,,gencode_basic
67079,46,445535,37,ENST00000445535,1,Ensembl,93,y,24,,,gencode_basic
195815,47,511182,37,ENST00000511182,1,Ensembl,93,y,45,,,gencode_basic
38934,48,413510,37,ENST00000413510,2,Ensembl,93,y,29,,,gencode_basic
142522,49,513963,37,ENST00000513963,1,Ensembl,93,y,23,,,gencode_basic
61006,50,597959,37,ENST00000597959,1,Ensembl,93,y,23,,,gencode_basic
30554,51,532078,37,ENST00000532078,1,Ensembl,93,n,1,,,
65070,51,74753,37,ENST00000311388,3,Ensembl,93,n,23,CCDS41633.1,NM_139160.2,gencode_basic
137231,51,427755,37,ENST00000427755,2,Ensembl,93,n,1,,,
151607,51,96975,37,ENST00000241051,3,Ensembl,93,y,23,CCDS41632.1,NM_001077242.1,gencode_basic
22474,52,452602,37,ENST00000452602,1,Ensembl,93,n,29,,,gencode_basic
137617,52,417624,37,ENST00000417624,1,Ensembl,93,n,29,,,gencode_basic
174539,52,434779,37,ENST00000434779,1,Ensembl,93,y,29,,,gencode_basic
79705,53,408577,37,ENST00000408577,1,Ensembl,93,y,10,,,gencode_basic
30547,54,384553,37,ENST00000384553,1,Ensembl,93,y,19,,,gencode_basic
77373,55,527624,37,ENST00000527624,1,Ensembl,93,n,23,CCDS47282.1,,gencode_basic
150166,55,92184,37,ENST00000529310,1,Ensembl,93,y,23,CCDS47281.1,NM_031849.1,gencode_basic
58248,56,561699,37,ENST00000561699,1,Ensembl,93,y,29,,,gencode_basic
67140,57,516207,37,ENST00000516207,1,Ensembl,93,y,9,,,gencode_basic
40471,58,544997,37,ENST00000544997,1,Ensembl,93,n,23,,,cds_end_NF
86768,58,540957,37,ENST00000540957,1,Ensembl,93,n,1,,,
101807,58,61164,37,ENST00000279227,5,Ensembl,93,y,23,CCDS8060.1,NM_178443.2,gencode_basic
117783,58,82486,37,ENST00000345728,5,Ensembl,93,n,23,CCDS8059.1,NM_031471.5,gencode_basic
129690,58,545896,37,ENST00000545896,1,Ensembl,93,n,23,,,cds_start_NF
130137,58,541252,37,ENST00000541252,1,Ensembl,93,n,23,,,cds_end_NF
140214,58,541326,37,ENST00000541326,1,Ensembl,93,n,1,,,
156463,58,546255,37,ENST00000546255,1,Ensembl,93,n,1,,,
187237,58,540554,37,ENST00000540554,1,Ensembl,93,n,1,,,
16063,59,418428,37,ENST00000418428,2,Ensembl,93,y,45,,,gencode_basic
129648,59,424453,37,ENST00000424453,1,Ensembl,93,n,45,,,
141919,59,443874,37,ENST00000443874,1,Ensembl,93,n,45,,,
151159,60,414372,37,ENST00000414372,1,Ensembl,93,y,13,,,gencode_basic
28869,61,515448,37,ENST00000515448,1,Ensembl,93,n,14,,,
30381,61,507276,37,ENST00000507276,1,Ensembl,93,n,40,,,
40438,61,511652,37,ENST00000511652,1,Ensembl,93,n,40,,,
39139,61,514036,37,ENST00000514036,1,Ensembl,93,n,23,,,cds_end_NF
42070,61,506376,37,ENST00000506376,1,Ensembl,93,n,23,CCDS54838.1,NM_001145523.1,gencode_basic
48969,61,503222,37,ENST00000503222,1,Ensembl,93,n,14,,,
47358,61,505185,37,ENST00000505185,1,Ensembl,93,n,1,,,
55725,61,514527,37,ENST00000514527,1,Ensembl,93,n,23,,,cds_end_NF
55029,61,510319,37,ENST00000510319,1,Ensembl,93,n,14,,,
72115,61,104876,37,ENST00000397449,1,Ensembl,93,n,23,,,gencode_basic
91018,61,513772,37,ENST00000513772,1,Ensembl,93,n,1,,,
93757,61,508777,37,ENST00000508777,1,Ensembl,93,n,14,,,
106302,61,510386,37,ENST00000510386,1,Ensembl,93,n,1,,,
113576,61,514873,37,ENST00000514873,1,Ensembl,93,n,23,,,cds_end_NF
114254,61,512305,37,ENST00000512305,1,Ensembl,93,n,23,,,cds_end_NF
126780,61,512629,37,ENST00000512629,1,Ensembl,93,n,23,CCDS54837.1,,gencode_basic
129757,61,514931,37,ENST00000514931,1,Ensembl,93,n,1,,,
130114,61,69014,37,ENST00000265109,3,Ensembl,93,n,23,CCDS34142.1,NM_015577.2,gencode_basic
134720,61,503673,37,ENST00000503673,1,Ensembl,93,n,23,CCDS34142.1,NM_001145521.1,gencode_basic
139575,61,428746,37,ENST00000428746,2,Ensembl,93,n,23,CCDS34142.1,NM_001145520.1,gencode_basic
145329,61,504052,37,ENST00000504052,1,Ensembl,93,n,23,,,cds_end_NF
146298,61,508315,37,ENST00000508315,1,Ensembl,93,n,23,,,
145953,61,107166,37,ENST00000515799,1,Ensembl,93,y,23,CCDS54839.1,NM_001145525.1,gencode_basic
148619,61,512625,37,ENST00000512625,1,Ensembl,93,n,23,,,cds_end_NF
155498,61,502736,37,ENST00000502736,1,Ensembl,93,n,40,,,
159190,61,507883,37,ENST00000507883,1,Ensembl,93,n,1,,,
174419,61,509247,37,ENST00000509247,1,Ensembl,93,n,40,,,
191595,61,507502,37,ENST00000507502,1,Ensembl,93,n,40,,,
193388,61,513974,37,ENST00000513974,1,Ensembl,93,n,23,,,cds_end_NF
63366,62,512688,37,ENST00000512688,1,Ensembl,93,n,45,,,
149453,62,514876,37,ENST00000514876,1,Ensembl,93,n,45,,,
195345,62,502427,37,ENST00000502427,1,Ensembl,93,y,45,,,gencode_basic
150928,63,437076,37,ENST00000437076,1,Ensembl,93,y,24,,,gencode_basic
28709,64,456143,37,ENST00000456143,1,Ensembl,93,y,13,,,gencode_basic
181376,65,586416,37,ENST00000586416,1,Ensembl,93,y,24,,,gencode_basic
148831,66,604674,37,ENST00000604674,1,Ensembl,93,y,13,,,gencode_basic
10126,67,581758,37,ENST00000581758,1,Ensembl,93,n,40,,,
16533,67,577992,37,ENST00000577992,1,Ensembl,93,n,23,,,cds_end_NF
18950,67,383440,37,ENST00000383440,2,Ensembl,93,n,23,CCDS42411.1,NM_001083625.2,gencode_basic
52145,67,540578,37,ENST00000540578,2,Ensembl,93,n,40,,,
96743,67,64362,37,ENST00000262126,4,Ensembl,93,y,23,CCDS11843.1,NM_015208.4,gencode_basic
100067,67,581635,37,ENST00000581635,1,Ensembl,93,n,14,,,
131080,67,400020,37,ENST00000400020,3,Ensembl,93,n,23,CCDS42411.1,NM_001204056.1,gencode_basic
141834,67,585234,37,ENST00000585234,1,Ensembl,93,n,23,,,cds_end_NF
155745,67,546007,37,ENST00000546007,2,Ensembl,93,n,23,,,cds_end_NF
158369,67,359158,37,ENST00000359158,7,Ensembl,93,n,14,,,cds_start_NF
19844,68,301717,37,ENST00000301717,4,Ensembl,93,n,23,CCDS32365.1,,gencode_basic
36545,68,565550,37,ENST00000565550,1,Ensembl,93,n,1,,,
70380,68,568416,37,ENST00000568416,1,Ensembl,93,n,1,,,
110125,68,567868,37,ENST00000567868,1,Ensembl,93,n,1,,,
111930,68,563741,37,ENST00000563741,1,Ensembl,93,n,1,,,
139544,68,564709,37,ENST00000564709,1,Ensembl,93,n,1,,,
146090,68,563705,37,ENST00000563705,1,Ensembl,93,n,1,,,
171458,68,569769,37,ENST00000569769,1,Ensembl,93,n,23,,,cds_end_NF
172755,68,564070,37,ENST00000564070,1,Ensembl,93,n,1,,,
174614,68,563668,37,ENST00000563668,1,Ensembl,93,n,1,,,
185870,68,569380,37,ENST00000569380,1,Ensembl,93,n,1,,,
194540,68,5363,37,ENST00000566339,1,Ensembl,93,y,23,CCDS32365.1,NM_080861.3,gencode_basic
9155,69,62144,37,ENST00000229379,2,Ensembl,93,y,23,CCDS9197.1,NM_004373.3,gencode_basic
76576,69,550009,37,ENST00000550009,1,Ensembl,93,n,1,,,
181052,69,549525,37,ENST00000549525,1,Ensembl,93,n,1,,,
174917,70,65455,37,ENST00000310227,1,Ensembl,93,y,23,CCDS13143.1,NM_002196.2,gencode_basic
127429,71,455837,37,ENST00000455837,2,Ensembl,93,y,13,,,gencode_basic
16031,72,586859,37,ENST00000586859,1,Ensembl,93,n,1,,,
22698,72,585539,37,ENST00000585539,1,Ensembl,93,n,40,,,
28572,72,64276,37,ENST00000307877,2,Ensembl,93,y,23,CCDS11738.1,NM_014230.3,gencode_basic
109993,72,588643,37,ENST00000588643,1,Ensembl,93,n,1,,,
125276,72,539137,37,ENST00000539137,1,Ensembl,93,n,23,CCDS58601.1,NM_001260502.1,gencode_basic
129386,72,591272,37,ENST00000591272,1,Ensembl,93,n,14,,,
129484,72,587864,37,ENST00000587864,1,Ensembl,93,n,1,,,
129042,72,602720,37,ENST00000602720,1,Ensembl,93,n,23,CCDS58600.1,NM_001260503.1,gencode_basic
141868,72,590833,37,ENST00000590833,1,Ensembl,93,n,1,,,
160737,72,542536,37,ENST00000542536,2,Ensembl,93,n,40,,,
164306,72,355113,37,ENST00000355113,5,Ensembl,93,n,23,,,gencode_basic
169242,72,592704,37,ENST00000592704,1,Ensembl,93,n,14,,,
177305,72,588736,37,ENST00000588736,1,Ensembl,93,n,1,,,
121262,73,521906,37,ENST00000521906,1,Ensembl,93,y,23,CCDS56545.1,NM_001242668.1,gencode_basic
161177,73,522116,37,ENST00000522116,1,Ensembl,93,n,23,,,cds_start_NF
17079,74,577919,37,ENST00000577919,1,Ensembl,93,y,19,,,gencode_basic
911,75,74486,37,ENST00000380412,5,Ensembl,93,y,23,CCDS10681.2,NM_024671.3,gencode_basic
48319,75,562803,37,ENST00000562803,1,Ensembl,93,n,23,,,gencode_basic
151975,76,603676,37,ENST00000603676,1,Ensembl,93,y,13,,,gencode_basic
131332,77,510244,37,ENST00000510244,1,Ensembl,93,y,45,,,gencode_basic
192831,78,559320,37,ENST00000559320,1,Ensembl,93,y,13,,,gencode_basic
56167,79,553836,37,ENST00000553836,2,Ensembl,93,y,13,,,gencode_basic
11729,80,566428,37,ENST00000566428,1,Ensembl,93,y,23,CCDS32499.1,NM_001286565.1,gencode_basic
39428,80,562564,37,ENST00000562564,1,Ensembl,93,n,23,,,cds_start_NF
43811,80,67998,37,ENST00000258180,3,Ensembl,93,n,23,CCDS32499.1,NM_014732.2,gencode_basic
43702,80,567328,37,ENST00000567328,1,Ensembl,93,n,23,,,gencode_basic
64963,80,562580,37,ENST00000562580,1,Ensembl,93,n,23,,,cds_start_NF
124483,80,562388,37,ENST00000562388,1,Ensembl,93,n,1,,,
195643,80,538274,37,ENST00000538274,1,Ensembl,93,n,23,CCDS67091.1,NM_001286566.1,gencode_basic
181898,81,361057,37,ENST00000361057,1,Ensembl,93,y,49,,,gencode_basic
1779,82,547648,37,ENST00000547648,1,Ensembl,93,n,45,,,
39086,82,550805,37,ENST00000550805,1,Ensembl,93,n,45,,,
66034,82,546959,37,ENST00000546959,1,Ensembl,93,n,45,,,
75175,82,548875,37,ENST00000548875,1,Ensembl,93,n,45,,,
88768,82,552602,37,ENST00000552602,1,Ensembl,93,n,45,,,gencode_basic
98543,82,455088,37,ENST00000455088,2,Ensembl,93,n,45,,,
101231,82,548903,37,ENST00000548903,1,Ensembl,93,n,45,,,
107822,82,551334,37,ENST00000551334,1,Ensembl,93,n,45,,,
118105,82,548057,37,ENST00000548057,2,Ensembl,93,n,45,,,
127436,82,553153,37,ENST00000553153,1,Ensembl,93,n,45,,,
127551,82,546382,37,ENST00000546382,1,Ensembl,93,n,45,,,
130545,82,400192,37,ENST00000400192,4,Ensembl,93,y,45,,,
154401,82,549065,37,ENST00000549065,1,Ensembl,93,n,45,,,
168905,82,549813,37,ENST00000549813,1,Ensembl,93,n,45,,,
184416,82,547285,37,ENST00000547285,1,Ensembl,93,n,45,,,
62967,83,486726,37,ENST00000486726,2,Ensembl,93,y,45,,,gencode_basic
13641,84,597904,37,ENST00000597904,1,Ensembl,93,n,45,,,
48464,84,562038,37,ENST00000562038,1,Ensembl,93,y,45,,,gencode_basic
805,85,528614,37,ENST00000528614,1,Ensembl,93,y,3,,,gencode_basic
7024,86,600313,37,ENST00000600313,1,Ensembl,93,n,23,,,gencode_basic
28354,86,1469,37,ENST00000359788,4,Ensembl,93,y,23,CCDS32981.1,NM_138330.2,gencode_basic
41528,86,599535,37,ENST00000599535,1,Ensembl,93,n,23,,,cds_end_NF
92467,86,599168,37,ENST00000599168,1,Ensembl,93,n,23,,,gencode_basic
137196,86,601010,37,ENST00000601010,1,Ensembl,93,n,23,,,gencode_basic
140970,86,600299,37,ENST00000600299,1,Ensembl,93,n,1,,,
162129,86,601935,37,ENST00000601935,1,Ensembl,93,n,23,,,gencode_basic
174056,86,597074,37,ENST00000597074,1,Ensembl,93,n,14,,,
195801,86,596211,37,ENST00000596211,1,Ensembl,93,n,23,,,gencode_basic
9505,87,492397,37,ENST00000492397,1,Ensembl,93,n,40,,,
72373,87,412450,37,ENST00000412450,1,Ensembl,93,n,23,,,cds_end_NF
75852,87,431180,37,ENST00000431180,1,Ensembl,93,n,14,,,cds_start_NF
101045,87,484689,37,ENST00000484689,1,Ensembl,93,n,1,,,
123739,87,479832,37,ENST00000479832,1,Ensembl,93,n,1,,,
132848,87,445387,37,ENST00000445387,1,Ensembl,93,n,14,,,cds_start_NF
169072,87,7147,37,ENST00000409792,3,Ensembl,93,y,23,CCDS2749.2,NM_014159.6,gencode_basic
171742,87,7148,37,ENST00000330022,7,Ensembl,93,n,14,,,cds_start_NF
99260,88,560051,37,ENST00000560051,1,Ensembl,93,y,13,,,gencode_basic
71517,89,488999,37,ENST00000488999,1,Ensembl,93,y,45,,,gencode_basic
157858,89,498241,37,ENST00000498241,1,Ensembl,93,n,45,,,
182858,90,562191,37,ENST00000562191,1,Ensembl,93,y,42,,,gencode_basic
185729,91,606932,37,ENST00000606932,1,Ensembl,93,y,29,,,gencode_basic
144213,92,408374,37,ENST00000408374,1,Ensembl,93,y,10,,,gencode_basic
93583,93,525596,37,ENST00000525596,1,Ensembl,93,y,23,CCDS61865.1,NM_001282511.1,gencode_basic
93213,93,545050,37,ENST00000545050,1,Ensembl,93,n,23,,,"cds_start_NF,cds_end_NF"
166541,93,78720,37,ENST00000339303,5,Ensembl,93,n,23,,,gencode_basic
86121,94,602428,37,ENST00000602428,1,Ensembl,93,y,13,,,gencode_basic
48850,95,483722,37,ENST00000483722,1,Ensembl,93,y,23,CCDS4853.2,NM_024807.2,gencode_basic
5940,96,445853,37,ENST00000445853,1,Ensembl,93,n,23,,,cds_end_NF
22136,96,476729,37,ENST00000476729,1,Ensembl,93,n,1,,,
31021,96,413165,37,ENST00000413165,1,Ensembl,93,n,23,,,cds_end_NF
38608,96,484168,37,ENST00000484168,1,Ensembl,93,n,1,,,
78787,96,416018,37,ENST00000416018,1,Ensembl,93,n,23,,,cds_end_NF
131610,96,470643,37,ENST00000470643,1,Ensembl,93,n,40,,,
135745,96,101118,37,ENST00000418160,1,Ensembl,93,n,23,,,cds_end_NF
136809,96,484693,37,ENST00000484693,1,Ensembl,93,n,1,,,
152228,96,58372,37,ENST00000376389,3,Ensembl,93,y,23,CCDS4688.1,NM_005803.2,gencode_basic
157450,96,438162,37,ENST00000438162,1,Ensembl,93,n,23,,,cds_end_NF
163044,96,487376,37,ENST00000487376,1,Ensembl,93,n,1,,,
183501,96,454845,37,ENST00000454845,1,Ensembl,93,n,23,,,cds_end_NF
195868,96,456573,37,ENST00000456573,2,Ensembl,93,n,23,,,gencode_basic
138957,97,534816,37,ENST00000534816,1,Ensembl,93,y,13,,,gencode_basic
58807,98,382528,37,ENST00000382528,1,Ensembl,93,y,23,,,gencode_basic
29880,99,415260,37,ENST00000415260,1,Ensembl,93,y,13,,,gencode_basic
20897,100,447747,37,ENST00000447747,1,Ensembl,93,n,23,,,cds_end_NF
53640,100,341463,37,ENST00000341463,5,Ensembl,93,n,23,CCDS8911.1,,gencode_basic
93484,100,380198,37,ENST00000380198,2,Ensembl,93,y,23,CCDS8911.1,,gencode_basic
98495,100,479016,37,ENST00000479016,2,Ensembl,93,n,1,,,
108572,100,61905,37,ENST00000267023,4,Ensembl,93,n,23,CCDS8911.1,NM_024068.3,gencode_basic
128315,100,399713,37,ENST00000399713,2,Ensembl,93,n,23,,,cds_end_NF
35410,101,595180,37,ENST00000595180,1,Ensembl,93,n,1,,,
41519,101,596232,37,ENST00000596232,1,Ensembl,93,n,1,,,
52883,101,392204,37,ENST00000392204,2,Ensembl,93,n,23,CCDS56091.1,NM_001242597.1,gencode_basic
54383,101,593027,37,ENST00000593027,2,Ensembl,93,n,14,,NM_001242598.1,
58813,101,64896,37,ENST00000222284,5,Ensembl,93,y,23,CCDS12466.1,NM_032635.3,gencode_basic
62176,101,477168,37,ENST00000477168,2,Ensembl,93,n,1,,,
