ID_GENE,COSMIC_ID_GENE,GENE_SYMBOL,GENOME_VERSION,FULL_NAME,CHROMOSOME,CHROM_ARM,CHROM_BAND,HGNC_ID,OMIM_ID,ENTREZ_GENE_ID,ENSEMBL_GENE_ID,ENSEMBL_ID_VERSION,FROM_DB,ID_BIOTYPE,VERSION
38,,KRTAP4-7,37,keratin associated protein 4-7,17,q,21.2,18898,,81871,ENSG00000240871,3,Ensembl,23,93
39,,RP11-3G20.1,37,,8,q,24.13,,,,ENSG00000254209,1,Ensembl,45,93
40,,DOK6,37,docking protein 6,18,q,22.2,28301,611402,220164,ENSG00000206052,6,Ensembl,23,93
41,,MCIDAS,37,multiciliate differentiation and DNA synthesis associated cell cycle protein,5,q,11.2,40050,614086,345643,ENSG00000234602,3,Ensembl,23,93
42,,RP11-467J12.1,37,,16,q,12.2,,,,ENSG00000260326,1,Ensembl,49,93
43,,CTD-2643K12.1,37,,15,q,26.2,,,,ENSG00000258895,1,Ensembl,49,93
44,,EPS15,37,epidermal growth factor receptor pathway substrate 15,1,p,32.3,3419,600051,2060,ENSG00000085832,12,Ensembl,23,93
45,,RP11-104N10.1,37,,16,q,24.3,,,101927863,ENSG00000261118,1,Ensembl,29,93
46,,HSPA7,37,heat shock protein family A (Hsp70) member 7,1,q,23.3,5240,140556,3311,ENSG00000225217,1,Ensembl,49,93
47,,CTD-2139B15.5,37,,5,p,15.1,,,,ENSG00000249199,1,Ensembl,45,93
48,,DLEU7-AS1,37,DLEU7 antisense RNA 1,13,q,14.3,39966,,100874074,ENSG00000237152,2,Ensembl,29,93
49,,RP11-724O16.1,37,,2,q,31.1,,,,ENSG00000251569,1,Ensembl,23,93
50,,CTD-3214H19.16,37,,19,p,13.2,,,,ENSG00000269711,1,Ensembl,23,93
51,,DEPDC7,37,DEP domain containing 7,11,p,13,29899,612294,91614,ENSG00000121690,5,Ensembl,23,93
52,,MTUS2-AS2,37,MTUS2 antisense RNA 2,13,q,12.3,40923,,,ENSG00000236758,1,Ensembl,29,93
53,,AC011456.1,37,,19,q,13.11,,,,ENSG00000221504,1,Ensembl,10,93
54,,Y_RNA,37,,3,p,26.1,,,,ENSG00000207283,1,Ensembl,19,93
55,,PCDHA6,37,protocadherin alpha 6,5,q,31.3,8672,606312,56142,ENSG00000081842,13,Ensembl,23,93
56,,RP5-1142A6.5,37,,16,q,24.3,,,,ENSG00000259813,1,Ensembl,29,93
57,,ACA64,37,,23,q,21.31,,,,ENSG00000252016,1,Ensembl,9,93
58,,FERMT3,37,fermitin family member 3,11,q,13.1,23151,607901,83706,ENSG00000149781,8,Ensembl,23,93
59,,AC005281.1,37,,7,p,21.3,,,,ENSG00000226690,2,Ensembl,45,93
60,,TPMTP2,37,thiopurine S-methyltransferase pseudogene 2,3,p,22.1,44565,,,ENSG00000234562,1,Ensembl,49,93
61,,RAI14,37,retinoic acid induced 14,5,p,13.2,14873,606586,26064,ENSG00000039560,9,Ensembl,23,93
62,,RP11-774D14.1,37,,5,p,14.3,,,,ENSG00000251629,2,Ensembl,45,93
63,,SEPT7P4,37,septin 7 pseudogene 4,7,q,11.21,38039,,,ENSG00000240651,1,Ensembl,49,93
64,,LA16c-60G3.7,37,,22,q,11.1,,,,ENSG00000213727,3,Ensembl,49,93
65,,FAM106DP,37,"family with sequence similarity 106 member D, pseudogene",17,q,23.1,38397,,,ENSG00000266960,1,Ensembl,49,93
66,,RP11-46A10.8,37,,1,q,25.3,,,,ENSG00000270711,1,Ensembl,49,93
67,,ANKRD12,37,ankyrin repeat domain 12,18,p,11.22,29135,610616,23253,ENSG00000101745,11,Ensembl,23,93
68,,SPSB3,37,splA/ryanodine receptor domain and SOCS box containing 3,16,p,13.3,30629,611659,90864,ENSG00000162032,11,Ensembl,23,93
69,,COX6A1,37,cytochrome c oxidase subunit 6A1,12,q,24.31,2277,602072,1337,ENSG00000111775,2,Ensembl,23,93
70,,INSM1,37,INSM transcriptional repressor 1,20,p,11.23,6090,600010,3642,ENSG00000173404,3,Ensembl,23,93
71,,RP11-269M20.1,37,,5,q,11.1,,,,ENSG00000213956,4,Ensembl,49,93
72,,SRP68,37,signal recognition particle 68,17,q,25.1,11302,604858,6730,ENSG00000167881,10,Ensembl,23,93
73,,C8orf87,37,chromosome 8 open reading frame 87,8,q,22.1,42974,,389676,ENSG00000254318,1,Ensembl,23,93
74,,RN7SL644P,37,"RNA, 7SL, cytoplasmic 644, pseudogene",10,q,23.33,46660,,,ENSG00000264313,1,Ensembl,19,93
75,,ZNF768,37,zinc finger protein 768,16,p,11.2,26273,,79724,ENSG00000169957,8,Ensembl,23,93
76,,RP11-712B9.4,37,,11,q,21,,,,ENSG00000270689,1,Ensembl,49,93
77,,RP11-666A20.4,37,,3,q,21.2,,,,ENSG00000248787,1,Ensembl,45,93
78,,RP11-454L9.2,37,,14,q,22.3,,,,ENSG00000259318,1,Ensembl,49,93
79,,ZFP64P1,37,ZFP64 zinc finger protein pseudogene 1,14,q,22.1,19820,,,ENSG00000258491,2,Ensembl,49,93
80,,KIAA0513,37,KIAA0513,16,q,24.1,29058,611675,9764,ENSG00000135709,8,Ensembl,23,93
81,,AL138751.1,37,,9,q,21.13,,,,ENSG00000198100,1,Ensembl,49,93
82,,CTD-2314B22.3,37,,14,q,11.2,,,,ENSG00000244306,5,Ensembl,45,93
83,,RP11-231E6.1,37,,3,q,13.2,,,,ENSG00000243081,2,Ensembl,45,93
84,,RP11-566E18.3,37,,2,q,35,,,150967,ENSG00000260804,2,Ensembl,45,93
85,,RP11-794P6.1,37,,11,q,23.1,,,100132078,ENSG00000255428,1,Ensembl,3,93
86,,ZNF675,37,zinc finger protein 675,19,p,12,30768,,171392,ENSG00000197372,5,Ensembl,23,93
87,,SETD2,37,SET domain containing 2,3,p,21.31,18420,612778,29072,ENSG00000181555,15,Ensembl,23,93
88,,HMGB3P26,37,high mobility group box 3 pseudogene 26,14,q,32.32,39318,,,ENSG00000259428,1,Ensembl,49,93
89,,RP11-290K4.2,37,,3,q,25.32,,,,ENSG00000242536,1,Ensembl,45,93
90,,RP11-389G6.3,37,,3,q,11.2,,,,ENSG00000261292,1,Ensembl,42,93
91,,RP4-678D15.1,37,,20,q,13.2,,,,ENSG00000271774,1,Ensembl,29,93
92,,AC116562.1,37,,4,p,16.3,,,,ENSG00000221301,1,Ensembl,10,93
93,,NPIPA8,37,nuclear pore complex interacting protein family member A8,16,p,12.3,41983,,101059938,ENSG00000214940,4,Ensembl,23,93
94,,LDHAL6EP,37,"lactate dehydrogenase A like 6E, pseudogene",4,q,13.3,44241,,,ENSG00000270098,1,Ensembl,49,93
95,,TREML2,37,triggering receptor expressed on myeloid cells like 2,6,p,21.1,21092,609715,79865,ENSG00000112195,8,Ensembl,23,93
96,,FLOT1,37,flotillin 1,6,p,21.33,3757,606998,10211,ENSG00000137312,10,Ensembl,23,93
97,,TMED10P1,37,transmembrane p24 trafficking protein 10 pseudogene 1,8,q,24.3,30754,,,ENSG00000254618,1,Ensembl,49,93
98,,AC074389.6,37,,7,p,22.3,,,,ENSG00000205971,1,Ensembl,23,93
99,,RP11-189G24.2,37,,20,p,11.21,,,,ENSG00000228935,1,Ensembl,49,93
100,,NABP2,37,nucleic acid binding protein 2,12,q,13.3,28412,612104,79035,ENSG00000139579,8,Ensembl,23,93
101,,TMEM147,37,transmembrane protein 147,19,q,13.12,30414,613585,10430,ENSG00000105677,7,Ensembl,23,93
102,,MIA-RAB4B,37,MIA-RAB4B readthrough (NMD candidate),19,q,13.2,48352,,,ENSG00000268975,1,Ensembl,23,93
103,,DPPA5P2,37,developmental pluripotency associated 5 pseudogene 2,15,q,21.1,43754,,,ENSG00000259427,2,Ensembl,49,93
104,,RP11-611D20.2,37,,9,q,34.3,,,101928483,ENSG00000237886,1,Ensembl,29,93
105,,CDY12P,37,chromodomain Y-linked 12 pseudogene,24,q,11.222,23856,,,ENSG00000228850,1,Ensembl,49,93
106,,EIF2AK3,37,eukaryotic translation initiation factor 2 alpha kinase 3,2,p,11.2,3255,604032,9451,ENSG00000172071,7,Ensembl,23,93
107,,AC025627.7,37,,17,p,11.2,,,101060602,ENSG00000228983,4,Ensembl,49,93
108,,CYP2A7P1,37,cytochrome P450 family 2 subfamily A member 7 pseudogene 1,19,q,13.2,2612,,,ENSG00000213908,3,Ensembl,49,93
109,,TCP11L1,37,t-complex 11 like 1,11,p,13,25655,,55346,ENSG00000176148,11,Ensembl,23,93
110,,RP3-395M20.8,37,,1,p,36.32,,,100133445,ENSG00000238164,2,Ensembl,40,93
111,,EFCAB8,37,EF-hand calcium binding domain 8,20,q,11.21,34532,,388795,ENSG00000215529,8,Ensembl,23,93
112,,RNY1P7,37,"RNA, Ro-associated Y1 pseudogene 7",13,q,12.12,42484,,,ENSG00000207474,1,Ensembl,19,93
113,,AC016903.1,37,,2,q,33.3,,,,ENSG00000236634,1,Ensembl,45,93
114,,Z84812.4,37,,16,p,13.3,,,,ENSG00000260803,1,Ensembl,40,93
115,,RNA5SP55,37,"RNA, 5S ribosomal pseudogene 55",1,p,13.1,42832,,,ENSG00000252510,1,Ensembl,27,93
116,,RNA5SP352,37,"RNA, 5S ribosomal pseudogene 352",11,q,24.2,43252,,,ENSG00000200278,1,Ensembl,27,93
117,,FANCA,37,FA complementation group A,16,q,24.3,3582,607139,2175,ENSG00000187741,10,Ensembl,23,93
118,,BOLA1,37,bolA family member 1,1,q,21.2,24263,613181,51027,ENSG00000178096,8,Ensembl,23,93
119,,RNU6-260P,37,"RNA, U6 small nuclear 260, pseudogene",5,q,33.3,47223,,,ENSG00000206819,1,Ensembl,32,93
120,,BBS7,37,Bardet-Biedl syndrome 7,4,q,27,18758,607590,55212,ENSG00000138686,5,Ensembl,23,93
121,,RAD9A,37,RAD9 checkpoint clamp component A,11,q,13.2,9827,603761,5883,ENSG00000172613,3,Ensembl,23,93
122,,RTL6,37,retrotransposon Gag like 6,22,q,13.31,13343,,84247,ENSG00000188636,3,Ensembl,23,93
123,,EEF1A1P6,37,eukaryotic translation elongation factor 1 alpha 1 pseudogene 6,7,p,15.3,3201,,,ENSG00000233476,2,Ensembl,49,93
124,,RP11-415H23.4,37,,9,q,34.13,,,,ENSG00000234907,1,Ensembl,49,93
125,,PRKXP1,37,PRKX pseudogene 1,15,q,26.3,9442,,,ENSG00000259205,2,Ensembl,49,93
126,,MRPS6P2,37,mitochondrial ribosomal protein S6 pseudogene 2,1,p,32.3,29781,,,ENSG00000237130,1,Ensembl,49,93
127,,RP11-282O18.6,37,,12,q,24.31,,,,ENSG00000270113,1,Ensembl,45,93
128,,AC013269.1,37,,2,q,21.1,,,,ENSG00000256066,1,Ensembl,49,93
129,,NCR1,37,natural cytotoxicity triggering receptor 1,19,q,13.42,6731,604530,9437,ENSG00000189430,8,Ensembl,23,93
130,,ZNF81,37,zinc finger protein 81,23,p,11.23,13156,314998,347344,ENSG00000197779,9,Ensembl,23,93
131,,RP11-708L7.9,37,,11,q,23.1,,,,ENSG00000271025,1,Ensembl,49,93
132,,AC233263.1,37,,2,p,11.1,,,,ENSG00000237261,1,Ensembl,49,93
133,,RP11-464D20.6,37,,17,q,23.2,,,,ENSG00000264546,1,Ensembl,3,93
134,,RP11-410C4.5,37,,1,q,41,,,,ENSG00000260505,1,Ensembl,45,93
135,,RP11-449J1.1,37,,1,q,42.12,,,,ENSG00000225334,1,Ensembl,29,93
136,,RP11-680B3.2,37,,3,q,24,,,,ENSG00000240521,1,Ensembl,29,93
137,,OR2AO1P,37,olfactory receptor family 2 subfamily AO member 1 pseudogene,7,q,35,31247,,,ENSG00000240621,1,Ensembl,49,93
138,,FN1,37,fibronectin 1,2,q,35,3778,135600,2335,ENSG00000115414,14,Ensembl,23,93
139,,CABIN1,37,calcineurin binding protein 1,22,q,11.23,24187,604251,23523,ENSG00000099991,12,Ensembl,23,93
140,,RP11-666A1.7,37,,1,q,21.2,,,,ENSG00000271439,1,Ensembl,49,93
141,,RP11-780K2.1,37,,12,q,24.21,,,,ENSG00000257359,1,Ensembl,29,93
142,,RN7SL630P,37,"RNA, 7SL, cytoplasmic 630, pseudogene",12,q,22,46646,,,ENSG00000264978,1,Ensembl,19,93
143,,MIR650,37,microRNA 650,22,q,11.22,32906,615379,723778,ENSG00000207836,1,Ensembl,10,93
144,,RNU6-67P,37,"RNA, U6 small nuclear 67, pseudogene",13,q,31.1,42557,,100873771,ENSG00000222791,1,Ensembl,32,93
145,,RP11-41L14.1,37,,23,q,25,,,,ENSG00000234592,1,Ensembl,49,93
146,,AC073115.7,37,,7,p,12.3,,,,ENSG00000229628,1,Ensembl,45,93
147,,RN7SL33P,37,"RNA, 7SL, cytoplasmic 33, pseudogene",17,p,13.3,46049,,,ENSG00000243049,2,Ensembl,19,93
148,,A4GALT,37,"alpha 1,4-galactosyltransferase (P blood group)",22,q,13.2,18149,607922,53947,ENSG00000128274,11,Ensembl,23,93
149,,AL137002.1,37,,13,q,34,,,,ENSG00000268130,1,Ensembl,23,93
150,,RP11-290L1.7,37,,12,q,21.2,,,,ENSG00000198923,3,Ensembl,49,93
151,,RP11-350N15.4,37,,8,p,11.23,,,,ENSG00000255201,1,Ensembl,29,93
152,,KLHL36,37,kelch like family member 36,16,q,24.1,17844,,79786,ENSG00000135686,8,Ensembl,23,93
153,,RP11-460N16.1,37,,3,p,13,,,101927152,ENSG00000240405,1,Ensembl,45,93
154,,DLG5-AS1,37,DLG5 antisense RNA 1,10,q,22.3,45109,,,ENSG00000233871,1,Ensembl,29,93
155,,SRPRB,37,SRP receptor subunit beta,3,q,22.1,24085,,58477,ENSG00000144867,7,Ensembl,23,93
156,,AP5M1,37,adaptor related protein complex 5 subunit mu 1,14,q,22.3,20192,614368,55745,ENSG00000053770,7,Ensembl,23,93
157,,ARHGAP22,37,Rho GTPase activating protein 22,10,q,11.22,30320,610585,58504,ENSG00000128805,10,Ensembl,23,93
158,,CTD-2568A17.5,37,,19,q,13.33,,,284365,ENSG00000180279,5,Ensembl,45,93
159,,RNU6-404P,37,,3,p,25.2,47367,,,ENSG00000251777,1,Ensembl,32,93
160,,CSPG4P13,37,chondroitin sulfate proteoglycan 4 pseudogene 13,15,q,24.3,49195,,,ENSG00000260139,2,Ensembl,49,93
161,,PDLIM2,37,PDZ and LIM domain 2,8,p,21.3,13992,609722,64236,ENSG00000120913,19,Ensembl,23,93
162,,AC009052.12,37,,16,q,21,,,,ENSG00000260345,1,Ensembl,40,93
163,,MTND5P15,37,MT-ND5 pseudogene 15,3,q,26.32,42277,,,ENSG00000231888,1,Ensembl,49,93
164,,RP3-425P12.5,37,,6,p,22.3,,,,ENSG00000229313,1,Ensembl,29,93
165,,RNU6-831P,37,"RNA, U6 small nuclear 831, pseudogene",18,p,11.31,47794,,,ENSG00000207278,1,Ensembl,32,93
166,,TLR9,37,toll like receptor 9,3,p,21.2,15633,605474,54106,ENSG00000239732,2,Ensembl,23,93
167,,RNU6-148P,37,"RNA, U6 small nuclear 148, pseudogene",12,q,21.33,47111,,,ENSG00000252823,1,Ensembl,32,93
168,,AC004447.2,37,,19,p,13.11,,,,ENSG00000269131,1,Ensembl,29,93
169,,BEND2,37,BEN domain containing 2,23,p,22.13,28509,,139105,ENSG00000177324,9,Ensembl,23,93
170,,GRIK3,37,glutamate ionotropic receptor kainate type subunit 3,1,p,34.3,4581,138243,2899,ENSG00000163873,5,Ensembl,23,93
171,,GRM8,37,glutamate metabotropic receptor 8,7,q,31.33,4600,601116,2918,ENSG00000179603,13,Ensembl,23,93
172,,CCDC144NL,37,"coiled-coil domain containing 144 family, N-terminal like",17,p,11.2,33735,,339184,ENSG00000205212,3,Ensembl,23,93
173,,CTD-2561J22.2,37,,19,p,12,,,,ENSG00000213976,3,Ensembl,49,93
174,,RP11-314N14.1,37,,4,q,28.3,,,,ENSG00000250102,1,Ensembl,45,93
175,,SNORD14A,37,"small nucleolar RNA, C/D box 14A",11,p,15.1,10113,,26822,ENSG00000272034,1,Ensembl,9,93
176,,MMP28,37,matrix metallopeptidase 28,17,q,12,14366,608417,79148,ENSG00000129270,11,Ensembl,23,93
177,,RNU5A-8P,37,"RNA, U5A small nuclear 8, pseudogene",1,q,32.2,42530,,,ENSG00000200972,1,Ensembl,32,93
178,,RP11-258B16.1,37,,18,q,12.1,,,,ENSG00000267642,1,Ensembl,45,93
179,,AC136365.1,37,,8,p,11.22,,,,ENSG00000221018,1,Ensembl,10,93
180,,FCGR3B,37,Fc fragment of IgG receptor IIIb,1,q,23.3,3620,610665,2215,ENSG00000162747,5,Ensembl,23,93
181,,RNU6-689P,37,"RNA, U6 small nuclear 689, pseudogene",14,q,24.3,47652,,,ENSG00000206924,1,Ensembl,32,93
182,,LINC00159,37,long intergenic non-protein coding RNA 159,21,q,22.11,1285,,100551499,ENSG00000230323,1,Ensembl,45,93
183,,AC009236.2,37,,2,p,21,,,,ENSG00000231054,1,Ensembl,45,93
184,,RP11-465L8.1,37,,12,q,24.23,,,,ENSG00000256071,1,Ensembl,29,93
185,,CYC1,37,cytochrome c1,8,q,24.3,2579,123980,1537,ENSG00000179091,4,Ensembl,23,93
186,,SLAIN2,37,SLAIN motif family member 2,4,p,11,29282,610492,57606,ENSG00000109171,10,Ensembl,23,93
187,,NOSIP,37,nitric oxide synthase interacting protein,19,q,13.33,17946,,51070,ENSG00000142546,9,Ensembl,23,93
188,,MIR3689A,37,microRNA 3689a,9,q,34.3,38904,,100500846,ENSG00000265872,1,Ensembl,10,93
189,,RN7SL395P,37,"RNA, 7SL, cytoplasmic 395, pseudogene",8,q,24.3,46411,,,ENSG00000244307,2,Ensembl,19,93
190,,MIR151A,37,microRNA 151a,8,q,24.3,31762,,442893,ENSG00000254324,1,Ensembl,10,93
191,,OPN1MW,37,"opsin 1, medium wave sensitive",23,q,28,4206,300821,2652,ENSG00000147380,6,Ensembl,23,93
192,,RP11-162I7.2,37,,15,q,22.2,,,,ENSG00000271195,1,Ensembl,49,93
193,,LGALS13,37,galectin 13,19,q,13.2,15449,608717,29124,ENSG00000105198,6,Ensembl,23,93
194,,CEBPD,37,CCAAT enhancer binding protein delta,8,q,11.21,1835,116898,1052,ENSG00000221869,4,Ensembl,23,93
195,,UBE2D3P4,37,ubiquitin conjugating enzyme E2 D3 pseudogene 4,13,q,31.1,39391,,,ENSG00000224188,1,Ensembl,49,93
196,,RP13-631K18.5,37,,11,p,15.3,,,,ENSG00000255400,1,Ensembl,45,93
197,,CPA4,37,carboxypeptidase A4,7,q,32.2,15740,607635,51200,ENSG00000128510,6,Ensembl,23,93
198,,AC012362.3,37,,2,q,34,,,,ENSG00000213081,3,Ensembl,49,93
199,,Y_RNA,37,,7,p,22.1,,,,ENSG00000201990,1,Ensembl,19,93
200,,AC079779.4,37,,2,p,25.3,,,,ENSG00000228643,1,Ensembl,40,93
201,,THAP12P3,37,THAP domain containing 12 pseudogene 3,10,q,21.1,39567,,,ENSG00000227972,1,Ensembl,49,93
202,,LILRA4,37,leukocyte immunoglobulin like receptor A4,19,q,13.42,15503,607517,23547,ENSG00000239961,2,Ensembl,23,93
203,,NKAIN1,37,sodium/potassium transporting ATPase interacting 1,1,p,35.2,25743,612871,79570,ENSG00000084628,5,Ensembl,23,93
204,,RP4-726N1.2,37,,20,p,11.23,,,,ENSG00000229262,1,Ensembl,29,93
205,,RN7SL626P,37,,19,p,13.3,46642,,,ENSG00000266694,1,Ensembl,19,93
206,,RN7SL158P,37,,9,p,22.1,46174,,,ENSG00000264126,1,Ensembl,19,93
207,,AL583828.1,37,,6,p,23,,,,ENSG00000187461,5,Ensembl,23,93
208,,RP11-545D19.1,37,,23,p,21.1,,,,ENSG00000233571,1,Ensembl,45,93
209,,RP11-43D2.2,37,,5,q,23.2,,,,ENSG00000249112,1,Ensembl,45,93
210,,PSTK,37,phosphoseryl-tRNA kinase,10,q,26.13,28578,611310,118672,ENSG00000179988,9,Ensembl,23,93
211,,KIF17,37,kinesin family member 17,1,p,36.12,19167,605037,57576,ENSG00000117245,8,Ensembl,23,93
212,,RNU6-1172P,37,"RNA, U6 small nuclear 1172, pseudogene",8,q,22.1,48135,,,ENSG00000202095,1,Ensembl,32,93
213,,CYSTM1,37,cysteine rich transmembrane module containing 1,5,q,31.3,30239,,84418,ENSG00000120306,5,Ensembl,23,93
214,,LIX1L,37,limb and CNS expressed 1 like,1,q,21.1,28715,,128077,ENSG00000152022,7,Ensembl,23,93
215,,MIR367,37,microRNA 367,4,q,25,31781,614600,442912,ENSG00000199169,1,Ensembl,10,93
216,,MTND2P26,37,MT-ND2 pseudogene 26,11,q,22.3,42127,,,ENSG00000254565,1,Ensembl,49,93
217,,AC005152.3,37,,17,q,24.3,,,,ENSG00000228639,2,Ensembl,45,93
218,,MRPL30,37,,2,q,11.2,,611838,,ENSG00000273155,1,Ensembl,23,93
219,,PRM1,37,protamine 1,16,p,13.13,9447,182880,5619,ENSG00000175646,3,Ensembl,23,93
220,,Z69666.2,37,,16,p,13.3,,,,ENSG00000228779,1,Ensembl,29,93
221,,RP1-186E20.1,37,,10,p,14,,,,ENSG00000228997,1,Ensembl,49,93
222,,RP11-9E13.4,37,,10,q,21.3,,,,ENSG00000234806,1,Ensembl,49,93
223,,CALM2,37,calmodulin 2,2,p,21,1445,114180,801,ENSG00000143933,12,Ensembl,23,93
224,,RP11-312B8.2,37,,1,p,36.31,,,,ENSG00000227950,1,Ensembl,49,93
225,,RP11-285G1.2,37,,10,q,11.21,,,,ENSG00000234504,2,Ensembl,29,93
226,,AC008753.4,37,,19,q,13.42,,,,ENSG00000269564,1,Ensembl,45,93
227,,AMN,37,amnion associated transmembrane protein,14,q,32.32,14604,605799,81693,ENSG00000166126,6,Ensembl,23,93
228,,FOXD3,37,forkhead box D3,1,p,31.3,3804,611539,27022,ENSG00000187140,4,Ensembl,23,93
229,,RN7SL164P,37,"RNA, 7SL, cytoplasmic 164, pseudogene",13,q,32.1,46180,,,ENSG00000242614,2,Ensembl,19,93
230,,SHROOM3,37,shroom family member 3,4,q,21.1,30422,604570,57619,ENSG00000138771,10,Ensembl,23,93
231,,FUCA1,37,alpha-L-fucosidase 1,1,p,36.11,4006,612280,2517,ENSG00000179163,11,Ensembl,23,93
232,,RPS26P11,37,ribosomal protein S26 pseudogene 11,23,q,13.1,31817,,,ENSG00000196933,5,Ensembl,49,93
233,,AC005592.1,37,,5,q,31.3,,,,ENSG00000236714,1,Ensembl,45,93
234,,RP11-521C20.1,37,,15,q,15.1,,,,ENSG00000259239,1,Ensembl,49,93
235,,LGALS9B,37,galectin 9B,17,p,11.2,24842,,284194,ENSG00000170298,11,Ensembl,23,93
236,,RP11-111F5.1,37,,9,p,11.2,,,,ENSG00000236450,1,Ensembl,49,93
237,,CLEC2A,37,C-type lectin domain family 2 member A,12,p,13.31,24191,612087,387836,ENSG00000188393,4,Ensembl,23,93
238,,RP11-754I20.2,37,,14,q,11.2,,,,ENSG00000257356,2,Ensembl,49,93
239,,RP11-815I9.5,37,,17,p,11.2,,,,ENSG00000265693,1,Ensembl,49,93
